"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000180210.15",40.0738080016414,-3.8019151130486,0.482361315546577,-7.88188229551646,3.22485736151524e-15,1.56409613105191e-12,"F2","Down"
"ENSG00000165731.20",657.236187438963,-2.45913891564944,0.312284248701457,-7.87468124273016,3.41612666507086e-15,1.63640902137548e-12,"RET","Down"
"ENSG00000148584.15",16.9023436422607,-3.2039848005252,0.407061260109997,-7.87101381167889,3.51778795035852e-15,1.66455719831538e-12,"A1CF","Down"
"ENSG00000108448.21",840.965626216817,-1.70529025329164,0.216894594626561,-7.86229945576894,3.77145083407406e-15,1.76308510617961e-12,"TRIM16L","Down"
"ENSG00000072041.17",54.2474841136491,-3.60004530889781,0.45842375624716,-7.85309500181494,4.05893968612957e-15,1.87489189001802e-12,"SLC6A15","Down"
"ENSG00000171401.15",90.5026850672309,-2.57366033673065,0.328070100888562,-7.84484879835137,4.33475451137489e-15,1.97873893877479e-12,"KRT13","Down"
"ENSG00000162006.9",168.568836867058,-2.72232296773942,0.347673272544162,-7.83011862780918,4.87409852204358e-15,2.1990685669048e-12,"MSLNL","Down"
"ENSG00000125462.19",205.725928116779,-2.30295322827565,0.294844747474465,-7.81073174272878,5.68569132284454e-15,2.53575297721484e-12,"MIR9-1HG","Down"
"ENSG00000211452.11",104.941928014116,2.24386350174399,0.287754775296314,7.79783237109926,6.29795909932036e-15,2.77689898878101e-12,"DIO1","Up"
"ENSG00000131050.11",209.774677467257,-2.77107655673493,0.356513050694608,-7.77272122671507,7.68176796334874e-15,3.25163351176256e-12,"BPIFA2","Down"
"ENSG00000154040.21",461.689989263774,-1.96987995742962,0.25345011767894,-7.77225899703463,7.70986013458818e-15,3.25163351176256e-12,"CABYR","Down"
"ENSG00000204529.4",38.1638571928166,-3.58550886825359,0.461283781611363,-7.77289168010337,7.67143404394137e-15,3.25163351176256e-12,"GUCY2EP","Down"
"ENSG00000257732.1",24.1794075321697,-2.4379211789685,0.313502347302282,-7.77640486569571,7.46146482756282e-15,3.25163351176256e-12,"AC089983.1","Down"
"ENSG00000118849.10",1835.51337614131,-1.57712451386279,0.203072390874536,-7.76631676551826,8.08013293222295e-15,3.37115309573315e-12,"RARRES1","Down"
"ENSG00000160181.9",364.106091080393,-5.14319475027529,0.664059011619803,-7.74508689781917,9.55165002891131e-15,3.94269758267859e-12,"TFF2","Down"
"ENSG00000256039.2",73.9407725988309,-1.88640262911565,0.244044556313494,-7.72974680366326,1.07760697759762e-14,4.40128719344896e-12,"LINC02446","Down"
"ENSG00000215182.8",17880.8411733976,-3.52577058288713,0.456555399007004,-7.72254712255203,1.14027742475312e-14,4.60874003727562e-12,"MUC5AC","Down"
"ENSG00000254632.2",33.3494795555954,-2.94820120935384,0.382270925250412,-7.71233440634434,1.23536916149641e-14,4.94160400363117e-12,"AP003119.1","Down"
"ENSG00000074276.10",125.39522117682,-2.21954471776385,0.289257202230573,-7.67325653656365,1.67683648316906e-14,6.62279285965819e-12,"CDHR2","Down"
"ENSG00000163053.11",1892.24795278857,-1.89667948986242,0.247212309090838,-7.67226962459009,1.68979277107848e-14,6.62279285965819e-12,"SLC16A14","Down"
"ENSG00000198788.9",61.4792402015394,-3.14078240926056,0.409896784785104,-7.66237386054926,1.82527373800628e-14,7.08224463083816e-12,"MUC2","Down"
"ENSG00000096088.16",66329.5955726753,-3.38679348266133,0.444188812466614,-7.6246708327799,2.44657870568058e-14,9.39898023357545e-12,"PGC","Down"
"ENSG00000189430.13",16.473889883563,-1.53536976520363,0.201897694712713,-7.60469190789108,2.85583403959045e-14,1.07918391442694e-11,"NCR1","Down"
"ENSG00000285534.1",19.5672426544052,-3.53839726154822,0.465316060517626,-7.60428784171352,2.86477006226578e-14,1.07918391442694e-11,"AL163541.1","Down"
"ENSG00000134539.17",240.147933964675,-1.28872356621548,0.169622956809306,-7.59757753583019,3.01725443723492e-14,1.1256970136457e-11,"KLRD1","Down"
"ENSG00000167759.13",401.867295263952,-2.70775685660622,0.357027528834823,-7.58416827252264,3.34626641394191e-14,1.23655698216533e-11,"KLK13","Down"
